PDS_acc,records,source_categories,n_source_categories,countries,n_countries,mrsa_marker_positive,years
PDS000206350.3,6,companion_animal;human_or_clinical,2,France;Netherlands,2,6,2019.0;2022.0;2023.0
PDS000235956.1,6,human_or_clinical;livestock,2,Portugal,1,0,2019.0;2020.0
PDS000239420.1,6,environment;human_or_clinical,2,China,1,6,2023.0
PDS000245467.2,6,food;livestock,2,United States,1,0,2025.0
PDS000251387.3,6,environment;human_or_clinical,2,United States,1,0,2022.0;2024.0
PDS000068768.1,5,human_or_clinical;livestock,2,China,1,5,2015.0
PDS000091036.3,5,environment;livestock,2,China,1,5,2019.0;2020.0
PDS000100571.3,5,food;human_or_clinical,2,China,1,0,2015.0
PDS000102916.3,5,food;livestock,2,China,1,5,2015.0
PDS000111990.2,5,human_or_clinical;livestock,2,China,1,0,2017.0
PDS000112003.1,5,human_or_clinical;livestock,2,China,1,5,2017.0
PDS000126212.3,5,environment;human_or_clinical,2,China,1,5,2015.0;2017.0;2018.0
PDS000159858.1,5,food;livestock,2,United States,1,0,2018.0;2022.0
PDS000214987.1,5,companion_animal;environment,2,China,1,0,2021.0
PDS000239419.1,5,environment;human_or_clinical,2,China,1,5,2023.0
PDS000254112.1,5,environment;human_or_clinical,2,"Korea, Rep.",1,5,2019.0
PDS000068036.4,4,human_or_clinical;livestock,2,Netherlands,1,4,2019.0;2020.0
PDS000068836.1,4,human_or_clinical;livestock,2,Australia,1,3,2015.0
PDS000091038.4,4,environment;human_or_clinical,2,China,1,4,2020.0
PDS000103556.2,4,companion_animal;human_or_clinical,2,United States,1,4,2017.0;2018.0
PDS000110875.5,4,human_or_clinical;livestock,2,Australia;New Zealand,2,4,2015.0;2018.0;2022.0
PDS000111980.1,4,human_or_clinical;livestock,2,China,1,4,2017.0
PDS000112014.2,4,human_or_clinical;livestock,2,China,1,4,2017.0
PDS000117382.2,4,environment;human_or_clinical,2,China,1,0,2017.0;2018.0
PDS000120295.1,4,human_or_clinical;livestock,2,China,1,2,2017.0
PDS000120969.2,4,human_or_clinical;livestock,2,Denmark;Japan,2,4,2016.0;2017.0;2019.0
PDS000131876.3,4,human_or_clinical;livestock,2,Netherlands,1,4,2018.0;2019.0;2021.0
PDS000135038.1,4,food;human_or_clinical,2,Cyprus,1,0,2015.0
PDS000135433.1,4,human_or_clinical;livestock,2,Hungary,1,4,2019.0
PDS000136763.5,4,human_or_clinical;livestock,2,United Kingdom,1,4,2015.0
PDS000143257.1,4,human_or_clinical;livestock,2,Thailand,1,4,2017.0
PDS000143266.1,4,human_or_clinical;livestock,2,Italy,1,4,2018.0
PDS000143269.1,4,human_or_clinical;livestock,2,Italy,1,4,2018.0
PDS000154482.1,4,human_or_clinical;livestock,2,Tanzania,1,0,2017.0
PDS000170798.2,4,environment;livestock,2,China,1,4,2020.0
PDS000175205.3,4,human_or_clinical;livestock,2,Netherlands,1,4,2017.0;2019.0
PDS000180002.3,4,environment;human_or_clinical,2,Japan,1,4,2021.0
PDS000180958.1,4,human_or_clinical;livestock,2,New Zealand,1,0,2019.0
PDS000221132.2,4,food;livestock,2,United States,1,0,2024.0;2025.0
PDS000226215.2,4,human_or_clinical;livestock,2,Netherlands,1,4,2018.0;2019.0;2023.0
PDS000233216.1,4,companion_animal;livestock,2,Japan,1,4,2019.0;2020.0
PDS000239409.1,4,environment;human_or_clinical,2,China,1,4,2023.0
PDS000241387.2,4,companion_animal;livestock,2,France,1,4,2015.0;2016.0;2017.0;2018.0
PDS000248326.2,4,food;livestock,2,Kazakhstan,1,4,2024.0;2025.0
PDS000251458.1,4,environment;human_or_clinical,2,United States,1,0,2023.0;2024.0
PDS000068783.1,3,environment;livestock,2,China,1,1,2016.0
PDS000068888.10,3,human_or_clinical;livestock,2,China;not collected,2,0,2019.0;2024.0;2025.0
PDS000069017.3,3,food;human_or_clinical,2,China;United States,2,0,2015.0
PDS000069676.6,3,human_or_clinical;livestock,2,Belgium;Netherlands,2,3,2016.0;2019.0;2020.0
PDS000075462.3,3,human_or_clinical;livestock,2,India,1,0,2016.0;2019.0
PDS000106318.1,3,human_or_clinical;livestock,2,Italy,1,3,2019.0
PDS000106320.1,3,environment;livestock,2,Italy,1,3,2019.0
PDS000108565.2,3,human_or_clinical;livestock,2,Italy,1,3,2018.0;2019.0
PDS000111986.1,3,human_or_clinical;livestock,2,China,1,3,2017.0
PDS000126194.3,3,food;human_or_clinical,2,China,1,2,2016.0;2017.0;2018.0
PDS000131453.2,3,human_or_clinical;livestock,2,Belgium;Netherlands,2,3,2016.0;2017.0
PDS000135046.3,3,food;livestock,2,Germany,1,3,2017.0
PDS000135431.1,3,human_or_clinical;livestock,2,Italy,1,3,2018.0
PDS000135444.1,3,human_or_clinical;livestock,2,Hungary,1,3,2019.0
PDS000136136.1,3,environment;human_or_clinical,2,Slovenia,1,3,2015.0;2016.0
PDS000136164.1,3,human_or_clinical;livestock,2,Slovenia,1,3,2016.0
PDS000142439.1,3,environment;human_or_clinical,2,China,1,0,2017.0
PDS000153494.2,3,environment;livestock,2,China,1,0,2019.0;2025.0
PDS000162483.2,3,companion_animal;livestock,2,Thailand,1,3,2021.0;2022.0
PDS000164642.1,3,food;livestock,2,Saudi Arabia,1,0,2021.0
PDS000175079.1,3,human_or_clinical;livestock,2,Belgium;Denmark,2,3,2016.0;2017.0;2019.0
PDS000175259.2,3,human_or_clinical;livestock,2,Netherlands,1,3,2018.0;2019.0
PDS000176031.1,3,environment;human_or_clinical,2,China,1,3,2018.0;2019.0
PDS000220688.1,3,companion_animal;environment,2,Netherlands,1,3,2023.0
PDS000226243.2,3,human_or_clinical;livestock,2,Netherlands,1,3,2017.0;2019.0;2021.0
PDS000239404.1,3,environment;human_or_clinical,2,China,1,3,2022.0
PDS000241923.1,3,food;livestock,2,United States,1,0,2025.0
PDS000245469.1,3,food;livestock,2,United States,1,0,2024.0;2025.0
PDS000250744.1,3,human_or_clinical;livestock,2,Thailand,1,3,2016.0;2017.0
PDS000265423.1,3,human_or_clinical;livestock,2,China,1,3,2025.0
PDS000068577.1,2,human_or_clinical;livestock,2,"Korea, Rep.",1,2,2017.0
PDS000068769.1,2,human_or_clinical;livestock,2,China,1,2,2015.0
PDS000068774.1,2,human_or_clinical;livestock,2,China,1,2,2015.0
PDS000068775.1,2,environment;human_or_clinical,2,China,1,2,2016.0
PDS000068779.1,2,human_or_clinical;livestock,2,China,1,1,2015.0;2016.0
PDS000068784.1,2,human_or_clinical;livestock,2,China,1,1,2015.0;2016.0
PDS000069626.1,2,environment;human_or_clinical,2,China,1,2,2018.0
PDS000069761.2,2,human_or_clinical;livestock,2,Czechia;Poland,2,2,2017.0
PDS000077591.1,2,companion_animal;human_or_clinical,2,Hungary,1,0,2015.0
PDS000083952.3,2,human_or_clinical;livestock,2,Australia,1,2,2017.0;2018.0
PDS000093354.1,2,food;livestock,2,China,1,0,2018.0
PDS000094051.1,2,human_or_clinical;livestock,2,China,1,2,2020.0
PDS000111984.1,2,human_or_clinical;livestock,2,China,1,2,2017.0
PDS000112006.1,2,human_or_clinical;livestock,2,China,1,2,2017.0
PDS000115322.1,2,food;human_or_clinical,2,China,1,0,2018.0
PDS000120280.1,2,human_or_clinical;livestock,2,China,1,2,2017.0
PDS000120294.1,2,human_or_clinical;livestock,2,China,1,2,2017.0
PDS000123390.1,2,environment;human_or_clinical,2,China,1,0,2017.0;2018.0
PDS000125277.1,2,food;human_or_clinical,2,Bangladesh,1,2,2021.0;2022.0
PDS000126211.1,2,food;human_or_clinical,2,China,1,2,2015.0
PDS000131575.1,2,environment;human_or_clinical,2,Netherlands,1,2,2015.0;2016.0
PDS000135455.1,2,human_or_clinical;livestock,2,Hungary,1,2,2019.0
PDS000140341.3,2,companion_animal;human_or_clinical,2,Japan,1,2,2015.0;2021.0
PDS000144707.1,2,environment;livestock,2,Saudi Arabia,1,2,2019.0
PDS000144708.1,2,environment;livestock,2,Saudi Arabia,1,2,2020.0
PDS000146557.6,2,food;livestock,2,India,1,0,2016.0;2019.0
PDS000154489.1,2,human_or_clinical;livestock,2,Tanzania,1,0,2017.0;2019.0
PDS000154534.1,2,human_or_clinical;livestock,2,Australia,1,2,2021.0;2022.0
PDS000156613.1,2,environment;human_or_clinical,2,Austria,1,2,2016.0
PDS000156619.1,2,food;human_or_clinical,2,United States,1,0,2018.0
PDS000164645.1,2,food;livestock,2,Saudi Arabia,1,0,2022.0
PDS000164654.1,2,food;livestock,2,Saudi Arabia,1,2,2022.0
PDS000175090.4,2,companion_animal;human_or_clinical,2,France;Netherlands,2,2,2020.0;2022.0
PDS000180959.1,2,human_or_clinical;livestock,2,New Zealand,1,0,2019.0
PDS000185040.1,2,human_or_clinical;livestock,2,Switzerland,1,2,2017.0
PDS000187194.1,2,environment;human_or_clinical,2,China,1,2,2019.0
PDS000189008.1,2,environment;human_or_clinical,2,Switzerland,1,2,2019.0
PDS000189012.1,2,environment;human_or_clinical,2,Switzerland,1,2,2019.0
PDS000206182.1,2,companion_animal;human_or_clinical,2,United States,1,2,2020.0;2021.0
PDS000217791.1,2,human_or_clinical;livestock,2,Nigeria;Rwanda,2,0,2017.0;2021.0
PDS000223065.1,2,human_or_clinical;livestock,2,China,1,0,2015.0;2016.0
PDS000226216.1,2,human_or_clinical;livestock,2,Netherlands,1,2,2016.0;2019.0
PDS000226241.1,2,human_or_clinical;livestock,2,Netherlands,1,2,2020.0;2021.0
PDS000226242.2,2,human_or_clinical;livestock,2,Netherlands,1,2,2017.0;2019.0
PDS000226244.1,2,human_or_clinical;livestock,2,Netherlands,1,2,2018.0;2019.0
PDS000226528.1,2,human_or_clinical;livestock,2,Netherlands,1,2,2019.0;2021.0
PDS000226541.1,2,human_or_clinical;livestock,2,Netherlands,1,2,2019.0
PDS000226553.1,2,human_or_clinical;livestock,2,Netherlands,1,2,2020.0;2023.0
PDS000233212.1,2,food;livestock,2,United States,1,0,2024.0
PDS000235419.1,2,food;human_or_clinical,2,Serbia,1,2,2017.0;2020.0
PDS000239408.1,2,environment;human_or_clinical,2,China,1,2,2023.0
PDS000241188.1,2,companion_animal;food,2,Kazakhstan,1,0,2024.0
PDS000244812.1,2,companion_animal;human_or_clinical,2,Bangladesh,1,2,2024.0
PDS000244813.1,2,companion_animal;human_or_clinical,2,Bangladesh,1,2,2023.0
PDS000246080.1,2,human_or_clinical;livestock,2,China,1,0,2017.0
PDS000254106.1,2,companion_animal;environment,2,"Korea, Rep.",1,2,2018.0;2019.0
PDS000254113.1,2,environment;human_or_clinical,2,"Korea, Rep.",1,2,2019.0
PDS000256063.1,2,environment;livestock,2,China,1,0,2019.0;2025.0
PDS000267439.1,2,food;livestock,2,United States,1,0,2024.0;2025.0
