income_group,n,mecA_pct,mecA_ci,acq_tet_pct,acq_tet_ci,any_erm_pct,any_erm_ci,msrA_pct,msrA_ci,fq_qrdr_pct,fq_qrdr_ci,PVL_pct,PVL_ci,scn_pct,scn_ci
High income,53752,64.8,64.4-65.2,16.2,15.9-16.5,31.3,30.9-31.7,22.5,22.1-22.8,36.4,36.0-36.8,23.1,22.7-23.5,87.5,87.2-87.7
Upper middle income,9323,53.1,52.1-54.1,25.4,24.6-26.3,51.1,50.1-52.1,3.1,2.8-3.5,29.9,29.0-30.8,14.4,13.7-15.2,86.7,86.0-87.4
Lower middle income,1154,52.3,49.5-55.2,32.7,30.0-35.4,24.1,21.7-26.6,16.1,14.1-18.4,46.5,43.7-49.4,46.7,43.8-49.6,95.2,93.8-96.3
Low income,306,9.5,6.7-13.3,31.4,26.4-36.8,14.4,10.9-18.8,5.2,3.2-8.3,12.1,8.9-16.2,28.4,23.7-33.7,75.2,70.0-79.7
