income_group,records,mrsa_marker_positive,non_human_records,unique_countries,pop_million,records_per_million,non_human_per_million
High income,70700,39695,4155,42,1384.8,51.056,3.0005
Upper middle income,12403,6154,2602,29,3057.9,4.056,0.8509
Lower middle income,1535,720,246,17,2869.7,0.535,0.0857
Low income,362,29,56,9,727.2,0.498,0.077
