source_category,records,mrsa_marker_positive,unique_countries,mrsa_pct
companion_animal,930,440,20,47.31
environment,433,298,24,68.82
food,1815,595,39,32.78
human_or_clinical,65850,41705,108,63.33
livestock,4005,1339,49,33.43
unknown,13914,3784,40,27.2
