income_group,records,mrsa_marker_positive,nonhuman_records,unique_countries,mrsa_marker_pct
High income,70700,39695,4155,42,56.15
Upper middle income,12403,6154,2602,29,49.62
,1947,1563,124,18,80.28
Lower middle income,1535,720,246,17,46.91
Low income,362,29,56,9,8.01
