source_category,records,mrsa_marker_positive,unique_countries,mrsa_pct
human_or_clinical,96652,61172,140,63.29
unknown,46851,20324,61,43.38
livestock,7143,2426,57,33.96
food,2454,883,44,35.98
companion_animal,1152,625,28,54.25
environment,885,373,26,42.15
