country_parsed,iso3,income_group,region,records,mrsa_marker_positive,nonhuman_records,human_or_clinical_records,unknown_source_records,population_latest,population_latest_year,records_per_million_pop,mrsa_per_million_pop
Czech republic,,,,12,12,0,12,0,,,,
Lithuania,LTU,High income,Europe & Central Asia,11,0,0,11,0,2888774.0,2025.0,3.8078,0.0
Ukraine,UKR,Upper middle income,Europe & Central Asia,10,1,0,9,1,38980376.0,2025.0,0.2565,0.0257
Sudan,SDN,Low income,Sub-Saharan Africa ,10,4,0,10,0,51662147.0,2025.0,0.1936,0.0774
Estonia,EST,High income,Europe & Central Asia,6,0,0,6,0,1366475.0,2025.0,4.3909,0.0
Philippines,PHL,Upper middle income,East Asia & Pacific,6,6,0,6,0,116786962.0,2025.0,0.0514,0.0514
Albania,ALB,Upper middle income,Europe & Central Asia,5,1,0,5,0,2349580.0,2025.0,2.128,0.4256
West Bank,,,,5,2,0,5,0,,,,
Republic of the Congo,,,,5,4,0,5,0,,,,
"Iran, Islamic Rep.",IRN,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",5,1,0,5,0,92417681.0,2025.0,0.0541,0.0108
Kuwait,KWT,High income,"Middle East, North Africa, Afghanistan & Pakistan",4,3,0,4,0,4865298.0,2025.0,0.8221,0.6166
Trinidad and Tobago,TTO,High income,Latin America & Caribbean ,4,3,0,4,0,1367764.0,2025.0,2.9245,2.1934
Tunisia,TUN,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",4,3,0,4,0,12348573.0,2025.0,0.3239,0.2429
Zambia,ZMB,Lower middle income,Sub-Saharan Africa ,4,1,0,4,0,21913874.0,2025.0,0.1825,0.0456
Mayotte,,,,3,0,0,3,0,,,,
Cuba,CUB,Upper middle income,Latin America & Caribbean ,3,3,0,3,0,10937203.0,2025.0,0.2743,0.2743
Croatia,HRV,High income,Europe & Central Asia,3,1,0,3,0,3876200.0,2025.0,0.774,0.258
