iso3,records,income_group,country,non_human_records,population,gdp_pc_usd,health_exp_pc_usd,physicians_per_1k,hosp_beds_per_1k,records_per_million,log_pop
IRN,5,Upper middle income,"Iran, Islamic Rep.",0,90608707,5049.29931642754,267.059021,1.811,1.85,0.055,18.3220608701483
ZMB,4,Lower middle income,Zambia,0,20723965,1330.72780576709,79.55635071,0.324,,0.193,16.846801318052236
TUN,4,Lower middle income,Tunisia,0,12200431,3951.11683376921,317.70983887,1.315,1.82,0.328,16.316981836948322
KWT,4,High income,Kuwait,0,4853420,34091.9714813002,1679.12353516,2.273,2.33,0.824,15.395194169048125
TTO,4,High income,Trinidad and Tobago,0,1367510,18308.4536298575,1276.33862305,4.157,2.37,2.925,14.128502125865795
HRV,3,High income,Croatia,0,3859686,22183.4982258492,1548.33959961,3.909,5.6,0.777,15.166096390981895
MOZ,3,Low income,Mozambique,0,33635160,622.191133245967,52.96166611,0.175,0.74,0.089,17.331082506380135
CUB,3,Upper middle income,Cuba,0,11019931,9605.27914559614,1199.35327148,9.542,4.33,0.272,16.215216100326426
CMR,2,Lower middle income,Cameroon,0,28372687,1720.47510154506,79.09996796,0.136,2.65,0.07,17.160937515024777
ROU,2,High income,Romania,0,19061062,18244.4186876321,1050.99755859,3.625,7.23,0.105,16.763158173420887
MAR,2,Lower middle income,Morocco,1,37712505,3813.72607421875,232.24751282,0.74,0.73,0.053,17.44550229503148
JOR,2,Upper middle income,Jordan,0,11439213,4906.23543006639,342.10394287,2.851,1.41,0.175,16.252557747843237
MDA,2,Upper middle income,Moldova,2,2457783,6799.58594644576,451.73007202,4.016,5.54,0.814,14.714770282053891
DOM,1,Upper middle income,Dominican Republic,1,11331265,10630.431743829,488.8727417,2.426,0.75,0.088,16.243076277257174
BLR,1,Upper middle income,Belarus,0,9178298,7896.75388295584,558.22644043,4.717,9.77,0.109,16.032352342357296
IDN,1,Upper middle income,Indonesia,0,281190067,4876.2992959843,131.77729797,0.524,1.37,0.004,19.454541393663803
SYR,1,Low income,Syrian Arab Republic,1,23594623,1056.78264718197,33.34017944,1.521,1.43,0.042,16.976529405053544
