income_group,records,mrsa_marker_positive,non_human_records,unique_countries,pop_million,records_per_million,non_human_per_million
High income,33693,15454,2126,38,1384.8,24.331,1.5353
Upper middle income,4271,2306,1059,24,3057.9,1.397,0.3463
Lower middle income,689,331,83,12,2869.7,0.24,0.0289
Low income,231,11,30,8,727.2,0.318,0.0413
