source_category,n,pct_of_total,pct_with_host,pct_with_isolation_source,pct_with_source_type,pct_with_any_informative_field,n_with_no_informative_field
human_or_clinical,65850,75.74,99.5,83.9,0.2,100.0,0
livestock,4005,4.61,88.7,75.7,5.1,100.0,0
companion_animal,930,1.07,95.9,68.5,3.4,100.0,0
food,1815,2.09,9.1,97.3,19.8,100.0,0
environment,433,0.5,24.7,99.1,10.2,100.0,0
unknown,13914,16.0,8.4,7.2,0.0,12.1,12230
