source_category,records,mrsa_marker_positive,unique_countries,mrsa_pct
human_or_clinical,90252,56625,131,62.74
unknown,45193,19178,59,42.44
livestock,6648,2150,53,32.34
food,2381,854,43,35.87
companion_animal,1052,545,27,51.81
environment,778,315,24,40.49
