source_category,records,mrsa_marker_positive,unique_countries,mrsa_pct
human_or_clinical,27332,16374,83,59.91
unknown,9163,1601,31,17.47
livestock,1836,371,34,20.21
food,702,179,25,25.5
companion_animal,497,262,15,52.72
environment,310,220,19,70.97
